id	word	sense	context	w_word	wo_word	followup
just_e_1157	just	exclusive	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.
just_j_5467	just	non-exclusive	I want to leave the motorbike outdoors.	Fine, just don't do it at night.	Fine, don't do it at night.	Why not?
just_j_2485	just	non-exclusive	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?
just_e_2798	just	exclusive	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?
just_j_1627	just	non-exclusive	Excuse me, do you have the latest issue of Newsworld?	Yes, this week's issue just came in. Here it is.	Yes, this week's issue came in. Here it is.	How about Music Madness?
just_e_4508	just	exclusive	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.
just_j_638	just	non-exclusive	Hello, do you have any vacancies?	Yes, something just opened up.	Yes, something opened up.	What kind of apartment is it?
just_e_5138	just	exclusive	Do you mind if I ask your friend out?	Of course, but we aren't going out, we're just friends.	Of course, but we aren't going out, we're friends.	Okay, that's good.
just_j_498	just	non-exclusive	I'm hungry. Do we have anything to eat?	Just a few cookies.	A few cookies.	That's fine with me.
just_j_7769	just	non-exclusive	What's up? You look depressed.	I just had a quarrel with him.	I had a quarrel with him.	Would you rather I taught him a lesson for you?
just_j_12718	just	non-exclusive	Hello Mr Waterstone, what can I do for you today?	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've noticed the date on it.	Oh, I see. You have two choices here you can either redeem or renew.
just_j_8242	just	non-exclusive	Hello.this is Susan.	Hello, I’m Mark. I’m just wondering if you are free this weekend	Hello, I’m Mark. I’m wondering if you are free this weekend	Yes, I think So.
just_j_8890	just	non-exclusive	Wow! What’s the hold up?	It’s probably just people trying to get an early start out of the city for the weekend. Nobody sticks around in the summer.	It’s probably people trying to get an early start out of the city for the weekend. Nobody sticks around in the summer.	Really? Then, I guess I won’t have a hard time finding a room or getting a cab?
just_j_10613	just	non-exclusive	Oh, I think I broke my leg.__eou__Here, sir. Sit down in this wheel chair.__eou__Thanks.	The doctor will be with you in a moment. I just need to ask you a few questions.	The doctor will be with you in a moment. I need to ask you a few questions.	All right.
just_e_6323	just	exclusive	Hello, Chandler! How are you?__eou__Fine. And you?	Just so so. I am too tired. My company has been holding too many training sessions lately.	So so. I am too tired. My company has been holding too many training sessions lately.	That's good. Not Evey company provides employees with training opportunity. It seems that your company wants to further develop their employees and encouragelifelong learning.
just_j_4012	just	non-exclusive	Are you ok, Chuck? You look pale.	I'm fine, Katherine. I just stayed up late last night working on my Chinese.	I'm fine, Katherine. I stayed up late last night working on my Chinese.	Oh, poor you. You know what? I found a new way to learn Chinese and it works very well.
just_e_9268	just	exclusive	Hi, Jane. How are you doing this morning?	I’m all right, thanks. Just a little tired.	I’m all right, thanks. A little tired.	Late night?
just_j_788	just	non-exclusive	Excuse me. Does this bus go by Tiananmen square?__eou__Yes, it does.__eou__At which stop should I get off?	There is a stop at Tiananmen Square. The stops will be announced on the bus both in English and Chinese. When the stop is coming, you just push the red button near the rear door if you want to get off.	There is a stop at Tiananmen Square. The stops will be announced on the bus both in English and Chinese. When the stop is coming, you push the red button near the rear door if you want to get off.	Okay, thanks very much.
just_e_5758	just	exclusive	Do you like the Harry potter books and movies?__eou__Not really!__eou__Why not? They are very fun and exiting.	Maybe, but I think they are just for kids.	Maybe, but I think they are for kids.	No, that’s not true. Many adults like the Harry potter books too.
just_j_7873	just	non-exclusive	How are you getting along with your wife now?__eou__What can you expect? Not that good.__eou__What are you going to do then?	Just let it go.	Let it go.	How are your work now?
just_j_2141	just	non-exclusive	I am sorry for damaging your car, sir.	Don't worry about it. Just leave it to the insurance companies.	Don't worry about it. Leave it to the insurance companies.	The car park in this community is over crowded, isn't it?
